# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-11-17 12:15:12 -05:00,(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01376307 HUDSON RIVER AT WATER GRANT STREET AT YONKERS NY
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 01376307
#    TS_ID       Parameter Description
#    245339      00010     Temperature, water, degrees Celsius, [HRECOS]
#    246480      00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, [HRECOS]
#    245335      00300     Dissolved oxygen, water, unfiltered, milligrams per liter, [HRECOS]
#    245336      00301     Dissolved oxygen, water, unfiltered, percent of saturation, [HRECOS]
#    245334      00400     pH, water, unfiltered, field, standard units, [HRECOS]
#    245338      63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), [HRECOS]
#    291480      90860     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius, [HRECOS]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     Ssn  Parameter monitored seasonally.
#
agency_cd,site_no,datetime,tz_cd,245339_00010,245339_00010_cd,246480_00095,246480_00095_cd,245335_00300,245335_00300_cd,245336_00301,245336_00301_cd,245334_00400,245334_00400_cd,245338_63680,245338_63680_cd,291480_90860,291480_90860_cd
USGS,01376307,2023-03-30 16:37,EST,7.6,P,1020,P,12.1,P,,,8.4,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 16:52,EST,7.2,P,991,P,12.1,P,,,8.2,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 17:07,EST,7.0,P,1100,P,12.1,P,,,8.0,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 17:22,EST,7.3,P,1000,P,12.1,P,,,8.2,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 17:37,EST,7.1,P,1120,P,12.1,P,,,8.1,P,Ssn,P,0.6,P
USGS,01376307,2023-03-30 17:52,EST,6.9,P,1050,P,12.1,P,,,7.9,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 18:07,EST,6.8,P,1470,P,12.1,P,,,7.9,P,Ssn,P,0.7,P
USGS,01376307,2023-03-30 18:22,EST,6.8,P,1580,P,12.1,P,,,7.9,P,Ssn,P,0.8,P
USGS,01376307,2023-03-30 18:37,EST,6.7,P,1700,P,12.1,P,,,7.9,P,Ssn,P,0.9,P
USGS,01376307,2023-03-30 18:52,EST,6.8,P,1710,P,12.0,P,,,7.9,P,Ssn,P,0.9,P
USGS,01376307,2023-03-30 19:07,EST,6.6,P,1810,P,12.0,P,,,7.9,P,Ssn,P,0.9,P
USGS,01376307,2023-03-30 19:22,EST,6.5,P,2020,P,12.0,P,,,7.9,P,Ssn,P,1.0,P
USGS,01376307,2023-03-30 19:37,EST,6.6,P,2210,P,12.0,P,,,7.9,P,Ssn,P,1.1,P
USGS,01376307,2023-03-30 19:52,EST,6.5,P,1990,P,12.0,P,,,7.9,P,Ssn,P,1.0,P
USGS,01376307,2023-03-30 20:07,EST,6.5,P,2020,P,12.0,P,,,7.9,P,Ssn,P,1.0,P
USGS,01376307,2023-03-30 20:22,EST,6.5,P,2210,P,12.0,P,,,7.9,P,Ssn,P,1.1,P
USGS,01376307,2023-03-30 20:37,EST,6.5,P,2470,P,12.0,P,,,7.9,P,Ssn,P,1.3,P
USGS,01376307,2023-03-30 20:52,EST,6.5,P,2680,P,11.9,P,,,7.9,P,Ssn,P,1.4,P
USGS,01376307,2023-03-30 21:07,EST,6.5,P,2760,P,11.9,P,,,7.9,P,Ssn,P,1.4,P
USGS,01376307,2023-03-30 21:22,EST,6.5,P,2860,P,11.9,P,,,7.9,P,Ssn,P,1.5,P
USGS,01376307,2023-03-30 21:37,EST,6.5,P,3150,P,11.9,P,,,7.9,P,Ssn,P,1.6,P
USGS,01376307,2023-03-30 21:52,EST,6.5,P,3060,P,11.9,P,,,7.9,P,Ssn,P,1.6,P
USGS,01376307,2023-03-30 22:07,EST,6.4,P,3090,P,11.9,P,,,7.9,P,Ssn,P,1.6,P
USGS,01376307,2023-03-30 22:22,EST,6.4,P,3200,P,11.9,P,,,7.9,P,Ssn,P,1.7,P
USGS,01376307,2023-03-30 22:37,EST,6.4,P,3160,P,11.9,P,,,7.9,P,Ssn,P,1.6,P
USGS,01376307,2023-03-30 22:52,EST,6.4,P,2990,P,11.8,P,,,7.9,P,Ssn,P,1.6,P
USGS,01376307,2023-03-30 23:07,EST,6.4,P,3270,P,11.9,P,,,7.9,P,Ssn,P,1.7,P
USGS,01376307,2023-03-30 23:22,EST,6.4,P,3350,P,11.8,P,,,7.9,P,Ssn,P,1.8,P
USGS,01376307,2023-03-30 23:37,EST,6.3,P,3240,P,11.9,P,,,7.9,P,Ssn,P,1.7,P
USGS,01376307,2023-03-30 23:52,EST,6.3,P,3460,P,11.8,P,,,7.9,P,Ssn,P,1.8,P
USGS,01376307,2023-03-31 00:07,EST,6.5,P,3030,P,11.8,P,,,8.0,P,10.0,P,1.6,P
USGS,01376307,2023-03-31 00:22,EST,6.2,P,3110,P,11.9,P,,,7.9,P,11.3,P,1.6,P
USGS,01376307,2023-03-31 00:37,EST,6.2,P,3210,P,11.8,P,,,7.9,P,11.1,P,1.7,P
USGS,01376307,2023-03-31 00:52,EST,6.4,P,3010,P,11.7,P,,,8.1,P,10.0,P,1.6,P
USGS,01376307,2023-03-31 01:07,EST,6.2,P,2910,P,11.9,P,,,7.9,P,11.4,P,1.5,P
USGS,01376307,2023-03-31 01:22,EST,6.3,P,2870,P,11.8,P,,,8.0,P,10.8,P,1.5,P
USGS,01376307,2023-03-31 01:37,EST,6.8,P,2310,P,11.6,P,,,8.2,P,8.0,P,1.2,P
USGS,01376307,2023-03-31 01:52,EST,6.4,P,2420,P,11.8,P,,,8.0,P,9.0,P,1.2,P
USGS,01376307,2023-03-31 02:07,EST,6.5,P,2850,P,11.8,P,,,8.0,P,9.6,P,1.5,P
USGS,01376307,2023-03-31 02:22,EST,6.6,P,2930,P,11.7,P,,,8.0,P,10.5,P,1.5,P
USGS,01376307,2023-03-31 02:37,EST,6.7,P,3140,P,11.7,P,,,8.0,P,11.4,P,1.6,P
USGS,01376307,2023-03-31 02:52,EST,6.8,P,3040,P,11.7,P,,,8.0,P,10.8,P,1.6,P
USGS,01376307,2023-03-31 03:07,EST,6.6,P,3040,P,11.8,P,,,8.0,P,11.0,P,1.6,P
USGS,01376307,2023-03-31 03:22,EST,6.6,P,3180,P,11.7,P,,,8.0,P,10.5,P,1.7,P
USGS,01376307,2023-03-31 03:37,EST,6.7,P,3120,P,11.7,P,,,8.0,P,10.2,P,1.6,P
USGS,01376307,2023-03-31 03:52,EST,6.4,P,2980,P,11.8,P,,,8.0,P,10.3,P,1.6,P
USGS,01376307,2023-03-31 04:07,EST,6.6,P,2900,P,11.7,P,,,8.0,P,9.8,P,1.5,P
USGS,01376307,2023-03-31 04:22,EST,6.3,P,2910,P,11.9,P,,,7.9,P,12.1,P,1.5,P
USGS,01376307,2023-03-31 04:37,EST,6.4,P,2990,P,11.8,P,,,7.9,P,12.6,P,1.6,P
USGS,01376307,2023-03-31 04:52,EST,6.3,P,2980,P,11.8,P,,,7.9,P,14.8,P,1.6,P
USGS,01376307,2023-03-31 05:07,EST,6.3,P,3000,P,11.8,P,,,7.9,P,13.7,P,1.6,P
USGS,01376307,2023-03-31 05:22,EST,6.3,P,3010,P,11.8,P,,,7.9,P,12.2,P,1.6,P
USGS,01376307,2023-03-31 05:37,EST,6.3,P,3130,P,11.8,P,,,7.9,P,12.8,P,1.6,P
USGS,01376307,2023-03-31 05:52,EST,6.3,P,3210,P,11.8,P,,,7.9,P,9.7,P,1.7,P
USGS,01376307,2023-03-31 06:07,EST,6.3,P,3300,P,11.8,P,,,7.9,P,10.4,P,1.7,P
USGS,01376307,2023-03-31 06:22,EST,6.3,P,3170,P,11.6,P,,,8.0,P,10.6,P,1.7,P
USGS,01376307,2023-03-31 06:37,EST,6.2,P,3110,P,11.6,P,,,8.0,P,10.0,P,1.6,P
USGS,01376307,2023-03-31 06:52,EST,6.2,P,3200,P,11.7,P,,,8.0,P,9.4,P,1.7,P
USGS,01376307,2023-03-31 07:07,EST,6.1,P,3100,P,11.8,P,,,7.9,P,9.4,P,1.6,P
USGS,01376307,2023-03-31 07:22,EST,5.8,P,2870,P,11.9,P,,,7.9,P,8.4,P,1.5,P
USGS,01376307,2023-03-31 07:37,EST,5.9,P,2980,P,12.0,P,,,7.9,P,8.9,P,1.6,P
USGS,01376307,2023-03-31 07:52,EST,6.1,P,3210,P,11.9,P,,,7.9,P,9.4,P,1.7,P
USGS,01376307,2023-03-31 08:07,EST,6.2,P,3650,P,11.9,P,,,7.9,P,9.6,P,1.9,P
USGS,01376307,2023-03-31 08:22,EST,6.2,P,3220,P,11.9,P,,,7.9,P,10.0,P,1.7,P
USGS,01376307,2023-03-31 08:37,EST,6.2,P,3520,P,11.9,P,,,7.9,P,10.8,P,1.8,P
USGS,01376307,2023-03-31 08:52,EST,6.2,P,3840,P,11.8,P,,,7.9,P,10.6,P,2.0,P
USGS,01376307,2023-03-31 09:07,EST,6.3,P,3600,P,11.9,P,,,7.9,P,9.9,P,1.9,P
USGS,01376307,2023-03-31 09:22,EST,6.3,P,3780,P,11.9,P,,,7.9,P,9.9,P,2.0,P
USGS,01376307,2023-03-31 09:37,EST,6.4,P,3630,P,11.9,P,,,7.9,P,10.2,P,1.9,P
USGS,01376307,2023-03-31 09:52,EST,6.4,P,3730,P,11.9,P,,,7.9,P,9.9,P,2.0,P
USGS,01376307,2023-03-31 10:07,EST,6.5,P,3770,P,11.9,P,,,7.9,P,9.5,P,2.0,P
USGS,01376307,2023-03-31 10:22,EST,6.5,P,4300,P,11.9,P,,,7.9,P,9.8,P,2.3,P
USGS,01376307,2023-03-31 10:37,EST,6.6,P,3760,P,11.9,P,,,7.9,P,9.8,P,2.0,P
USGS,01376307,2023-03-31 10:52,EST,6.7,P,3510,P,11.9,P,,,7.9,P,10.4,P,1.8,P
USGS,01376307,2023-03-31 11:07,EST,6.7,P,3270,P,12.0,P,,,7.9,P,9.9,P,1.7,P
USGS,01376307,2023-03-31 11:22,EST,6.7,P,3440,P,11.9,P,,,7.9,P,12.1,P,1.8,P
USGS,01376307,2023-03-31 11:37,EST,6.7,P,3760,P,11.9,P,,,7.9,P,10.7,P,2.0,P
USGS,01376307,2023-03-31 11:52,EST,6.7,P,3880,P,11.9,P,,,7.9,P,10.3,P,2.0,P
USGS,01376307,2023-03-31 12:07,EST,6.7,P,3660,P,11.9,P,,,7.9,P,11.3,P,1.9,P
USGS,01376307,2023-03-31 12:22,EST,6.7,P,4170,P,11.9,P,,,7.9,P,11.0,P,2.2,P
USGS,01376307,2023-03-31 12:37,EST,6.7,P,3980,P,11.9,P,,,7.9,P,12.2,P,2.1,P
USGS,01376307,2023-03-31 12:52,EST,6.7,P,3830,P,11.9,P,,,7.9,P,11.6,P,2.0,P
USGS,01376307,2023-03-31 13:07,EST,6.7,P,3880,P,11.9,P,,,7.9,P,11.5,P,2.0,P
USGS,01376307,2023-03-31 13:22,EST,6.7,P,3770,P,11.9,P,,,8.0,P,11.1,P,2.0,P
USGS,01376307,2023-03-31 13:37,EST,6.7,P,3570,P,11.9,P,,,8.0,P,12.0,P,1.9,P
USGS,01376307,2023-03-31 13:52,EST,6.8,P,3610,P,11.9,P,,,8.1,P,11.2,P,1.9,P
USGS,01376307,2023-03-31 14:07,EST,6.6,P,3520,P,11.9,P,,,7.9,P,11.3,P,1.8,P
USGS,01376307,2023-03-31 14:22,EST,6.6,P,3660,P,11.9,P,,,7.9,P,11.7,P,1.9,P
USGS,01376307,2023-03-31 14:37,EST,6.6,P,3270,P,11.9,P,,,7.9,P,11.6,P,1.7,P
USGS,01376307,2023-03-31 14:52,EST,6.8,P,2850,P,11.9,P,,,8.2,P,10.2,P,1.5,P
USGS,01376307,2023-03-31 15:07,EST,6.7,P,3150,P,11.9,P,,,8.0,P,11.2,P,1.6,P
USGS,01376307,2023-03-31 15:22,EST,6.6,P,3200,P,11.9,P,,,8.0,P,11.6,P,1.7,P
USGS,01376307,2023-03-31 15:37,EST,6.7,P,3020,P,12.0,P,,,8.0,P,10.7,P,1.6,P
USGS,01376307,2023-03-31 15:52,EST,6.8,P,3050,P,11.9,P,,,7.9,P,16.0,P,1.6,P
USGS,01376307,2023-03-31 16:07,EST,7.0,P,2690,P,12.0,P,,,8.1,P,13.3,P,1.4,P
USGS,01376307,2023-03-31 16:22,EST,7.1,P,3250,P,11.9,P,,,8.0,P,16.5,P,1.7,P
USGS,01376307,2023-03-31 16:37,EST,7.2,P,3520,P,11.9,P,,,8.0,P,11.9,P,1.8,P
USGS,01376307,2023-03-31 16:52,EST,7.4,P,3330,P,11.9,P,,,8.3,P,11.5,P,1.7,P
USGS,01376307,2023-03-31 17:07,EST,7.2,P,3430,P,11.8,P,,,8.1,P,12.1,P,1.8,P
USGS,01376307,2023-03-31 17:22,EST,7.2,P,3390,P,11.8,P,,,8.2,P,12.5,P,1.8,P
USGS,01376307,2023-03-31 17:37,EST,7.1,P,3530,P,11.8,P,,,8.1,P,12.6,P,1.9,P
USGS,01376307,2023-03-31 17:52,EST,7.0,P,3540,P,11.8,P,,,8.0,P,12.5,P,1.9,P
USGS,01376307,2023-03-31 18:07,EST,7.3,P,3270,P,11.8,P,,,8.2,P,9.8,P,1.7,P
USGS,01376307,2023-03-31 18:22,EST,7.1,P,3500,P,11.8,P,,,8.1,P,10.6,P,1.8,P
USGS,01376307,2023-03-31 18:37,EST,7.1,P,3280,P,11.8,P,,,8.2,P,10.0,P,1.7,P
USGS,01376307,2023-03-31 18:52,EST,7.0,P,2990,P,11.8,P,,,8.2,P,9.4,P,1.6,P
USGS,01376307,2023-03-31 19:07,EST,6.9,P,3080,P,11.8,P,,,8.1,P,9.5,P,1.6,P
USGS,01376307,2023-03-31 19:22,EST,7.0,P,3220,P,11.8,P,,,8.0,P,10.3,P,1.7,P
USGS,01376307,2023-03-31 19:37,EST,6.9,P,3240,P,11.6,P,,,8.0,P,9.4,P,1.7,P
USGS,01376307,2023-03-31 19:52,EST,6.8,P,3280,P,11.6,P,,,8.0,P,9.8,P,1.7,P
USGS,01376307,2023-03-31 20:07,EST,6.9,P,3300,P,11.8,P,,,8.0,P,9.6,P,1.7,P
USGS,01376307,2023-03-31 20:22,EST,6.9,P,3320,P,11.8,P,,,8.0,P,9.4,P,1.7,P
USGS,01376307,2023-03-31 20:37,EST,6.8,P,3410,P,11.9,P,,,8.0,P,9.9,P,1.8,P
USGS,01376307,2023-03-31 20:52,EST,6.7,P,3260,P,11.9,P,,,7.9,P,9.5,P,1.7,P
USGS,01376307,2023-03-31 21:07,EST,6.7,P,3280,P,12.0,P,,,7.9,P,9.9,P,1.7,P
USGS,01376307,2023-03-31 21:22,EST,6.6,P,3120,P,12.0,P,,,7.9,P,9.3,P,1.6,P
USGS,01376307,2023-03-31 21:37,EST,6.7,P,3240,P,11.9,P,,,7.9,P,9.8,P,1.7,P
USGS,01376307,2023-03-31 21:52,EST,6.7,P,3330,P,11.9,P,,,7.9,P,10.2,P,1.7,P
USGS,01376307,2023-03-31 22:07,EST,6.7,P,3630,P,11.9,P,,,7.9,P,10.2,P,1.9,P
USGS,01376307,2023-03-31 22:22,EST,6.7,P,4030,P,11.8,P,,,7.9,P,10.1,P,2.1,P
USGS,01376307,2023-03-31 22:37,EST,6.7,P,3880,P,11.9,P,,,7.9,P,9.6,P,2.0,P
USGS,01376307,2023-03-31 22:52,EST,6.7,P,3840,P,11.8,P,,,7.9,P,9.7,P,2.0,P
USGS,01376307,2023-03-31 23:07,EST,6.7,P,3800,P,11.9,P,,,7.9,P,9.9,P,2.0,P
USGS,01376307,2023-03-31 23:22,EST,6.6,P,3570,P,11.9,P,,,7.9,P,9.5,P,1.9,P
USGS,01376307,2023-03-31 23:37,EST,6.6,P,3760,P,11.9,P,,,7.9,P,9.8,P,2.0,P
USGS,01376307,2023-03-31 23:52,EST,6.7,P,3870,P,11.8,P,,,8.0,P,9.3,P,2.0,P
USGS,01376307,2023-04-01 00:07,EST,6.6,P,3940,P,11.9,P,,,7.9,P,9.2,P,2.1,P
USGS,01376307,2023-04-01 00:22,EST,6.6,P,3900,P,11.9,P,,,7.9,P,9.6,P,2.1,P
USGS,01376307,2023-04-01 00:37,EST,6.6,P,3980,P,11.9,P,,,7.9,P,9.4,P,2.1,P
USGS,01376307,2023-04-01 00:52,EST,6.5,P,3950,P,11.9,P,,,7.9,P,8.9,P,2.1,P
USGS,01376307,2023-04-01 01:07,EST,6.5,P,3750,P,11.9,P,,,7.9,P,9.2,P,2.0,P
USGS,01376307,2023-04-01 01:22,EST,6.5,P,3670,P,12.0,P,,,7.9,P,9.4,P,1.9,P
USGS,01376307,2023-04-01 01:37,EST,6.5,P,3570,P,11.9,P,,,7.9,P,9.5,P,1.9,P
USGS,01376307,2023-04-01 01:52,EST,6.5,P,2910,P,12.0,P,,,8.0,P,9.1,P,1.5,P
USGS,01376307,2023-04-01 02:07,EST,6.5,P,3090,P,12.0,P,,,7.9,P,9.0,P,1.6,P
USGS,01376307,2023-04-01 02:22,EST,6.5,P,3280,P,12.0,P,,,7.9,P,9.3,P,1.7,P
USGS,01376307,2023-04-01 02:37,EST,6.5,P,3280,P,12.0,P,,,7.9,P,9.0,P,1.7,P
USGS,01376307,2023-04-01 02:52,EST,6.5,P,3430,P,11.9,P,,,7.9,P,9.6,P,1.8,P
USGS,01376307,2023-04-01 03:07,EST,6.6,P,3280,P,11.8,P,,,8.1,P,8.3,P,1.7,P
USGS,01376307,2023-04-01 03:22,EST,6.7,P,3130,P,11.8,P,,,8.0,P,8.3,P,1.6,P
USGS,01376307,2023-04-01 03:37,EST,6.9,P,3040,P,11.8,P,,,8.0,P,8.1,P,1.6,P
USGS,01376307,2023-04-01 03:52,EST,6.8,P,3030,P,11.8,P,,,8.0,P,8.2,P,1.6,P
USGS,01376307,2023-04-01 04:07,EST,6.7,P,3090,P,11.8,P,,,8.0,P,8.5,P,1.6,P
USGS,01376307,2023-04-01 04:22,EST,7.0,P,3270,P,11.8,P,,,8.0,P,8.8,P,1.7,P
USGS,01376307,2023-04-01 04:37,EST,6.9,P,3440,P,11.9,P,,,8.0,P,8.9,P,1.8,P
USGS,01376307,2023-04-01 04:52,EST,6.9,P,3650,P,11.8,P,,,8.0,P,8.8,P,1.9,P
USGS,01376307,2023-04-01 05:07,EST,7.0,P,3630,P,11.8,P,,,8.0,P,8.6,P,1.9,P
USGS,01376307,2023-04-01 05:22,EST,7.1,P,3550,P,11.8,P,,,8.0,P,8.0,P,1.9,P
USGS,01376307,2023-04-01 05:37,EST,7.1,P,3510,P,11.8,P,,,8.0,P,8.1,P,1.8,P
USGS,01376307,2023-04-01 05:52,EST,7.0,P,3580,P,11.8,P,,,8.0,P,8.6,P,1.9,P
USGS,01376307,2023-04-01 06:07,EST,6.9,P,3830,P,11.8,P,,,8.0,P,8.7,P,2.0,P
USGS,01376307,2023-04-01 06:22,EST,7.0,P,3750,P,11.8,P,,,8.0,P,8.3,P,2.0,P
USGS,01376307,2023-04-01 06:37,EST,7.0,P,3650,P,11.8,P,,,8.0,P,8.4,P,1.9,P
USGS,01376307,2023-04-01 06:52,EST,6.8,P,3730,P,11.8,P,,,8.0,P,8.8,P,2.0,P
USGS,01376307,2023-04-01 07:07,EST,6.8,P,3830,P,11.9,P,,,7.9,P,8.8,P,2.0,P
USGS,01376307,2023-04-01 07:22,EST,6.9,P,3870,P,11.8,P,,,7.9,P,8.4,P,2.0,P
USGS,01376307,2023-04-01 07:37,EST,6.8,P,3910,P,11.8,P,,,7.9,P,9.0,P,2.1,P
USGS,01376307,2023-04-01 07:52,EST,6.8,P,3930,P,11.8,P,,,7.9,P,9.4,P,2.1,P
USGS,01376307,2023-04-01 08:07,EST,6.9,P,3840,P,11.8,P,,,8.0,P,7.9,P,2.0,P
USGS,01376307,2023-04-01 08:22,EST,6.8,P,3960,P,11.9,P,,,7.9,P,8.4,P,2.1,P
USGS,01376307,2023-04-01 08:37,EST,6.9,P,3920,P,11.9,P,,,8.0,P,7.9,P,2.1,P
USGS,01376307,2023-04-01 08:52,EST,6.9,P,3630,P,12.0,P,,,8.0,P,7.8,P,1.9,P
USGS,01376307,2023-04-01 09:07,EST,6.8,P,3620,P,12.0,P,,,7.9,P,8.5,P,1.9,P
USGS,01376307,2023-04-01 09:22,EST,6.8,P,3800,P,11.9,P,,,7.9,P,8.4,P,2.0,P
USGS,01376307,2023-04-01 09:37,EST,6.8,P,4280,P,11.9,P,,,7.9,P,8.5,P,2.3,P
USGS,01376307,2023-04-01 09:52,EST,6.8,P,4510,P,11.9,P,,,7.9,P,9.6,P,2.4,P
USGS,01376307,2023-04-01 10:07,EST,6.8,P,4150,P,12.0,P,,,7.9,P,8.6,P,2.2,P
USGS,01376307,2023-04-01 10:22,EST,6.8,P,3790,P,12.0,P,,,7.9,P,8.4,P,2.0,P
USGS,01376307,2023-04-01 10:37,EST,6.8,P,4280,P,12.0,P,,,7.9,P,8.3,P,2.3,P
USGS,01376307,2023-04-01 10:52,EST,6.8,P,3590,P,12.0,P,,,7.9,P,8.9,P,1.9,P
USGS,01376307,2023-04-01 11:07,EST,6.8,P,3410,P,12.0,P,,,7.9,P,8.5,P,1.8,P
USGS,01376307,2023-04-01 11:22,EST,6.9,P,3870,P,12.0,P,,,7.9,P,8.8,P,2.0,P
USGS,01376307,2023-04-01 11:37,EST,7.0,P,3600,P,12.0,P,,,7.9,P,8.3,P,1.9,P
USGS,01376307,2023-04-01 11:52,EST,7.0,P,4170,P,12.0,P,,,7.9,P,8.3,P,2.2,P
USGS,01376307,2023-04-01 12:07,EST,7.0,P,3780,P,12.0,P,,,7.9,P,8.9,P,2.0,P
USGS,01376307,2023-04-01 12:22,EST,7.0,P,4680,P,11.9,P,,,7.9,P,9.8,P,2.5,P
USGS,01376307,2023-04-01 12:37,EST,7.0,P,3830,P,12.0,P,,,7.9,P,8.5,P,2.0,P
USGS,01376307,2023-04-01 12:52,EST,7.0,P,5680,P,11.8,P,,,7.9,P,8.4,P,3.1,P
USGS,01376307,2023-04-01 13:07,EST,7.0,P,4320,P,12.0,P,,,7.9,P,8.8,P,2.3,P
USGS,01376307,2023-04-01 13:22,EST,7.0,P,3850,P,12.0,P,,,7.9,P,8.9,P,2.0,P
USGS,01376307,2023-04-01 13:37,EST,7.1,P,4320,P,12.0,P,,,7.9,P,9.1,P,2.3,P
USGS,01376307,2023-04-01 13:52,EST,7.2,P,4520,P,12.0,P,,,7.9,P,9.3,P,2.4,P
USGS,01376307,2023-04-01 14:07,EST,7.2,P,4030,P,12.0,P,,,7.9,P,9.4,P,2.1,P
USGS,01376307,2023-04-01 14:22,EST,7.3,P,4430,P,12.0,P,,,7.9,P,9.2,P,2.4,P
USGS,01376307,2023-04-01 14:37,EST,7.3,P,4190,P,12.0,P,,,7.9,P,9.2,P,2.2,P
